location,latitude,longitude
Citizens Bank,42.8636245,-73.7861422
Bath National Bank,42.361763399999994,-77.6646805
Roslyn Savings Bank,40.653044,-73.57843729999998
Community Bank,43.078947899999996,-75.75100359999998
TD Bank,40.7184528,-74.0008438
Citibank,40.85062050000001,-73.8512585
NBT Bank,42.323277399999995,-75.7769831
Bank of America,40.7554945,-73.98477299999998
Orange Bank &amp Trust Company,41.0283566,-73.76329940000001
Citizens Bank,42.1691235,-75.87257149999998
Apple Bank for Savings,40.617729700000005,-73.99124300000001
Signature Bank,40.733822499999995,-73.59828689999998
Northwest Bank,42.0792337,-79.2290545
Chase,41.4495769,-74.41729609999999
HSBC Bank,40.7901276,-73.97557359999998
Bank Of Castile,42.765550399999995,-78.1259312
HSBC Bank,40.7777409,-73.9515672
Chase,40.634799799999996,-73.99204759999998
M&T Bank,43.1260501,-76.1370235
Trustco Bank,41.2676193,-73.6977641
Wells Fargo,40.809695399999995,-73.62901509999999
Sterling National Bank,40.9215404,-73.12871390000001
Citizens Bank,43.1924365,-77.5033108
Msb Bank,41.3645049,-74.684732
Queens County Savings Bank,40.7641348,-73.7264323
TD Bank,40.7454755,-73.98185050000001
Webster Bank,40.984231099999995,-73.68469549999999
HSBC Bank,40.8292809,-73.0971782
Astoria Federal Savings Bank,40.685944,-73.347523
Trustco,42.7925777,-73.6812293
TD Bank,40.810538,-73.4970593
Bank of America,40.7060233,-74.01340400000001
TD Bank,42.697553000000006,-73.8107062
TD Bank,40.7781222,-73.95473709999999
Community Financial Services Center (CFSC),40.695374,-73.9464703
Debt Free Counselor,40.59974709999999,-73.9907277
First Niagara,42.868208700000004,-73.81971300000001
Northwest Bank,42.0767878,-78.4590093
Community Bank,42.96172199999999,-77.13651709999998
Santander Bank,40.7604692,-73.97887949999998
Chase,40.7243323,-73.637294
State Bank of Long Island,40.82461929999999,-73.23387009999998
Tompkins Bank of Castile,42.6466145,-78.1355832
M&T Bank,41.3436441,-73.7576198
M&T Bank,43.19627570000001,-77.58988070000002
Community Bank,42.761624299999994,-78.13011879999998
NBT Bank,42.7568535,-73.77674909999999
Chase,40.666137799999994,-73.45222700000001
Chemung Canal Trust Company,42.5984006,-76.202508
HSBC Bank,40.612768,-73.9830259
NBT Bank,42.4470115,-75.0546806
Sterling National Bank,41.1413868,-73.9910376
KeyBank,42.922461,-78.828552
TD Bank,40.6245224,-73.96486639999998
Chase,40.888107500000004,-73.9079397
KeyBank,41.1434422,-73.99039479999998
HSBC Bank,40.8668602,-73.5315813
Chase,42.675774,-73.823546
Chase,40.767514399999996,-73.9566011
Generations Bank,42.909127500000004,-76.83932420000001
Chase,40.757131099999995,-73.83430209999999
Adirondack Trust Company,43.0999648,-73.74718809999999
HSBC Bank,40.7249918,-73.51995509999998
Chase,41.002529700000004,-73.66212879999998
Carthage Savings,43.97601160000001,-75.9130623
Nefcu,40.6541481,-73.6334305
Chase,41.0187916,-73.72457039999998
Canandaigua National Bank & Trust,42.886477899999996,-77.2818645
M&T Bank,43.3326364,-75.7474606
Evergreen Bank,44.58011700000001,-73.526833
Capital One,40.6664412,-73.67187799999998
M&T Bank,42.95077939999999,-76.54715030000001
KeyBank,42.477267100000006,-73.81964520000001
Capital One,40.6630705,-73.7273748
M&T Bank,41.46349910000001,-74.3683303
TD Bank,40.6369763,-73.9904866
Chase,40.7594649,-72.9400125
HSBC Bank,40.7180554,-73.9997126
Astoria Bank,40.7296324,-73.85970979999998
Chase,41.26954020000001,-73.60748819999998
Capital One,40.6455216,-73.9021329
Chase,41.0154135,-73.86853049999998
Citibank,40.7976401,-73.7021275
Roslyn Savings Bank,40.731204999999996,-73.45517319999998
Union State Bank,41.1434422,-73.99039479999998
Citibank,40.631901,-73.9957434
People's United Bank,40.746946799999996,-73.05498109999998
Community Bank,42.3925531,-77.6952633
M&T Bank,43.1068396,-77.74652669999998
Bank of America,40.7123995,-73.7857588
Bank of America,42.6905254,-73.8662105
Chase,40.598880799999996,-74.081186
Capital One,40.7643567,-73.5204383
Community Bank,44.148584299999996,-75.3152003
Santander Bank,40.8246911,-73.9203902
HSBC Bank,40.619322100000005,-74.032445
M&T Bank,42.39205399999999,-78.251971
M&T Bank,40.8604816,-73.1130388
Capital One,40.9081434,-73.904063
Bank of America,43.198081200000004,-77.57999040000001
Chase,40.893300700000005,-73.85621280000001
Chase,42.4393195,-76.4950752
Apple Bank,40.8326465,-73.86023809999999
M&T Bank,43.0297665,-76.00414640000002
KeyBank,42.8932394,-78.83696139999998
Capital One,40.726368799999996,-73.49788769999998
Chase,40.6801869,-73.61431490000001
People's United Bank,40.8807245,-73.8251811
Community Bank,44.6972649,-73.4937429
Chase,43.0892156,-77.6106937
Citibank,40.7204585,-73.84490859999998
Lake Shore Savings,42.8003902,-78.7510303
Richmond County Savings Bank,40.6163136,-74.13137139999998
Citizens Bank,42.1067898,-75.9372063
Capital One,40.5991473,-73.95571770000001
M&T Bank,43.21116060000001,-77.4619459
TD Bank,40.7581383,-73.78423509999999
Investors Bank,40.658551200000005,-73.5444625
Chase,40.5644109,-74.13317159999998
Cathay Bank,40.6389055,-74.00631949999999
Bank of America,43.1120042,-77.54827790000002
Chase,40.867333,-73.8272259
Capital One,40.8847747,-72.3923861
Chase,40.9842857,-73.68512129999998
Citizens Bank,43.031445899999994,-76.0542849
Chemung Canal Trust Company,42.086099299999994,-76.821955
Intercontinental Capital Group,40.763521000000004,-73.97065390000002
Community Bank,42.5488028,-74.82373129999998
Empire National Bank,40.8068037,-73.18107509999999
M&T Bank,42.0985854,-79.3071636
M&T Bank,43.1215343,-76.15894569999998
Cathay Bank,40.7567831,-73.8291551
Community Federal Savings Bank,40.717487,-73.737872
Capital One,40.873953799999995,-73.6209198
First Niagara,42.255688299999996,-73.7665858
Elmira Savings Bank,42.431875,-76.50842999999998
Citizens Bank,42.7824187,-73.9513108
Pioneer Bank,42.7258356,-73.79370259999999
Citibank,40.745930200000004,-73.98146249999998
Roslyn Savings Bank,40.84832539999999,-73.16723590000001
Apple Bank for Savings,40.779576899999995,-73.98143420000001
KeyBank,42.9791458,-78.7857255
Flushing Savings Bank,40.7651143,-73.8217589
Trustco Bank,41.589673600000005,-73.90622090000001
Citizens Bank,43.030576,-78.8215483
M&T Bank,42.676918,-73.6901793
American Community Bank,40.8396925,-73.2931902
Roslyn Savings Bank,40.7453248,-73.65173539999998
Community Bank,42.5027511,-78.6900845
Massena Savings & Loan Assn,44.8652774,-75.19831880000002
KeyBank,42.9704533,-73.79427790000001
M&T Bank,42.111577399999994,-75.90603829999998
Bank of America,40.7067041,-73.7929529
TD Bank,40.688140999999995,-73.68643180000002
TD Bank,40.5910679,-74.0876845
M&T Bank,41.53783129999999,-73.58355920000001
Valley Bank,40.7325007,-73.98992199999999
HSBC Bank,40.713190600000004,-73.9974421
Ulster Savings Bank,41.744183500000005,-74.0745642
Tompkins Trust Company,43.027903,-76.0461261
Tri State Funding,40.6403814,-73.99836499999998
Bank of America,40.7442777,-73.6057792
Wells Fargo,41.000601200000006,-73.68006319999998
KeyBank,43.170376,-78.688721
Bank of America,42.9864533,-78.8233578
Berkshire Bank,43.2285411,-75.49104419999998
Chase,40.7084646,-73.8188677
TD Bank,40.7572386,-73.8735839
Chase,40.71163120000001,-73.86020049999998
Chase,40.587494899999996,-73.95206019999998
Webster Bank,40.971695000000004,-73.8359792
Citibank,40.6125241,-74.12752859999998
TD Bank,40.754211,-73.9693705
Chase,43.136438399999996,-76.2260252
HSBC Bank,40.6256503,-73.9159981
M&T Bank,43.0628319,-76.0318193
KeyBank,41.7762224,-74.2957334
Trustco Bank,41.0937642,-73.9485191
Empire State Bank,40.5750356,-74.1158179
Community Financial Services Center (CFSC),40.8544723,-73.84331170000002
Chase,40.9845972,-73.7743306
