FIPS,Banks,POPULATION,MEDIAN_HOUSEHOLD_INCOME,B01003_001M,B19013_001M,state,county,BANKS_PER_CAP*100,Name,State
29189,1,996919,67420,-555555555,683,29,189,0.00010030905218979676,St Louis,MO
17043,1,929060,92809,-555555555,1225,17,043,0.00010763567476804513,Du Page,IL
24033,1,908670,84920,-555555555,802,24,033,0.00011005095359151287,Prince Georges,MD
13089,1,749323,62399,-555555555,935,13,089,0.0001334537976279922,De Kalb,GA
11001,1,692683,86420,-555555555,1008,11,001,0.0001443661819331498,Washington,DC
24510,1,609032,50379,-555555555,820,24,510,0.00016419498482838342,Baltimore City,MD
51810,1,450201,76610,-555555555,1188,51,810,0.00022212300727897095,Virginia Beach City,VA
29183,1,394290,84978,-555555555,1195,29,183,0.0002536204316619747,St Charles,MO
12111,1,312947,52322,-555555555,1459,12,111,0.00031954292579893716,St Lucie,FL
29510,1,308174,43896,-555555555,1098,29,510,0.0003244920077618488,St Louis City,MO
17111,1,307714,86799,-555555555,1690,17,111,0.0003249770891152174,McHenry,IL
18141,1,270216,52769,-555555555,1254,18,141,0.000370074310921633,St Joseph,IN
17163,1,262338,55179,-555555555,1368,17,163,0.00038118762817433997,St Clair,IL
22103,1,255155,68905,-555555555,1941,22,103,0.0003919186376908154,St Tammany,LA
48309,1,251089,49778,-555555555,1238,48,309,0.0003982651569762116,McLennan,TX
12109,1,244674,82252,-555555555,2741,12,109,0.00040870709597260027,St Johns,FL
51710,1,244601,51590,-555555555,1086,51,710,0.0004088290726530145,Norfolk City,VA
51550,1,239982,78640,-555555555,2645,51,550,0.0004166979190105924,Chesapeake City,VA
51760,1,226622,47250,-555555555,1316,51,760,0.00044126342543971894,Richmond City,VA
27137,1,199759,55646,-555555555,1004,27,137,0.0005006032268884005,St Louis,MN
51700,1,179673,53215,-555555555,1607,51,700,0.000556566651639367,Newport News City,VA
28033,1,178975,67038,-555555555,2539,28,033,0.0005587372538063976,De Soto,MS
17113,1,172578,67675,-555555555,1712,17,113,0.0005794481335975617,McLean,IL
26147,1,159247,56951,-555555555,1163,26,147,0.000627955314699806,St Clair,MI
51510,1,157613,100939,-555555555,2888,51,510,0.0006344654311509837,Alexandria City,VA
51650,1,135041,56287,-555555555,1252,51,650,0.0007405158433364681,Hampton City,VA
24037,1,112290,89845,-555555555,3200,24,037,0.0008905512512245079,St Marys,MD
36089,1,108913,50940,-555555555,1535,36,089,0.0009181640391872412,St Lawrence,NY
17037,1,104366,63317,-555555555,1940,17,037,0.0009581664526761589,De Kalb,IL
55039,1,102597,62391,-555555555,1327,55,039,0.0009746873690263848,Fond du Lac,WI
51770,1,99229,44230,-555555555,1434,51,770,0.0010077699059750677,Roanoke City,VA
51740,1,95097,52175,-555555555,1675,51,740,0.0010515578830036698,Portsmouth City,VA
