UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
Farmers and Merchants Bank Of Long Beach,Orange,33.774022,-117.950116,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.809153,-117.841189,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.780792,-118.072083,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.822828,-118.385476,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.759869,-117.842968,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.823905,-118.350932,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.799079,-118.125128,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.627347,-117.715239,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.604159,-117.8741,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.609369,-117.71243,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.697964,-117.825175,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.776219,-118.378596,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.808174,-118.18509,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.770743,-118.19238,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.782543,-118.155207,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.873302,-117.924326,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.500571,-117.65999,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Santa Barbara,34.422438,-119.70093,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.840134,-118.182224,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.670803,-117.862211,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.761424,-118.137406,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.429814,-117.615928,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.850793,-118.142634,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Orange,33.679338,-118.00452,CA,90802,"9,448,189"
Farmers and Merchants Bank Of Long Beach,Los Angeles,33.935496,-118.123608,CA,90802,"9,448,189"
Farmers & Merchants Bank Of Central California,Solano,38.155991,-121.690949,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,San Joaquin,38.11533,-121.284951,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,Sacramento,38.290999,-121.309319,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,Sacramento,38.253139,-121.296851,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,Stanislaus,37.494865,-120.844633,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,San Joaquin,38.130236,-121.274908,CA,95240,"4,256,325"
Farmers & Merchants Bank Of Central California,San Joaquin,38.134291,-121.273937,CA,95240,"4,256,325"
