,UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
27390,Discover Bank,New Castle,39.687725,-75.60848,DE,19950,"112,234,107"
28054,"PNC Bank, National Association",New Castle,39.678783,-75.58933499999999,DE,19899,"455,305,894"
28085,"PNC Bank, National Association",New Castle,39.633274,-75.656952,DE,19899,"455,305,894"
28130,"PNC Bank, National Association",New Castle,39.754875,-75.569165,DE,19899,"455,305,894"
28645,"PNC Bank, National Association",New Castle,39.682494,-75.7548,DE,19899,"455,305,894"
28654,"PNC Bank, National Association",New Castle,39.800671,-75.505189,DE,19899,"455,305,894"
28815,"PNC Bank, National Association",New Castle,39.454208,-75.688482,DE,19899,"455,305,894"
28823,"PNC Bank, National Association",New Castle,39.684566,-75.743454,DE,19899,"455,305,894"
28916,"PNC Bank, National Association",New Castle,39.738115,-75.611987,DE,19899,"455,305,894"
28929,"PNC Bank, National Association",New Castle,39.746583,-75.54992800000001,DE,19899,"455,305,894"
28930,"PNC Bank, National Association",New Castle,39.746396999999995,-75.549791,DE,19899,"455,305,894"
29041,"PNC Bank, National Association",New Castle,39.661184000000006,-75.736926,DE,19899,"455,305,894"
29045,"PNC Bank, National Association",New Castle,39.607934,-75.70973599999999,DE,19899,"455,305,894"
29185,"PNC Bank, National Association",New Castle,39.747027,-75.5505,DE,19899,"455,305,894"
29186,"PNC Bank, National Association",New Castle,39.747027,-75.5505,DE,19899,"455,305,894"
29187,"PNC Bank, National Association",New Castle,39.746722999999996,-75.550147,DE,19899,"455,305,894"
29427,"PNC Bank, National Association",New Castle,39.776074,-75.59605400000001,DE,19899,"455,305,894"
29522,"PNC Bank, National Association",New Castle,39.810446999999996,-75.549442,DE,19899,"455,305,894"
29564,"PNC Bank, National Association",New Castle,39.814398,-75.549522,DE,19899,"455,305,894"
29619,"PNC Bank, National Association",New Castle,39.449366999999995,-75.72424699999999,DE,19899,"455,305,894"
29647,"PNC Bank, National Association",New Castle,39.721812,-75.66221800000001,DE,19899,"455,305,894"
29772,"PNC Bank, National Association",New Castle,39.744351,-75.696685,DE,19899,"455,305,894"
30017,"PNC Bank, National Association",New Castle,39.81685,-75.45785500000001,DE,19899,"455,305,894"
30090,"PNC Bank, National Association",New Castle,39.788985,-75.696566,DE,19899,"455,305,894"
30220,"PNC Bank, National Association",New Castle,39.666304,-75.668745,DE,19899,"455,305,894"
56702,Artisans' Bank,New Castle,39.631169,-75.662518,DE,19808,"608,696"
56704,Artisans' Bank,New Castle,39.800171,-75.505282,DE,19808,"608,696"
56706,Artisans' Bank,New Castle,39.745331,-75.549858,DE,19808,"608,696"
56707,Artisans' Bank,New Castle,39.604628999999996,-75.746509,DE,19808,"608,696"
56708,Artisans' Bank,New Castle,39.760193,-75.624822,DE,19808,"608,696"
56709,Artisans' Bank,New Castle,39.760193,-75.624822,DE,19808,"608,696"
56711,Artisans' Bank,New Castle,39.809226,-75.547736,DE,19808,"608,696"
