UNIT,CNTYNAMB,lat,lon,STALP,ZIP,ASSET
Bank Of Zachary,East Baton Rouge,30.532248,-91.117948,LA,70791,"272,703"
Bank Of Zachary,East Baton Rouge,30.646756,-91.240787,LA,70791,"272,703"
Bank Of Zachary,Livingston,30.53742,-90.956421,LA,70791,"272,703"
Bank Of Zachary,Livingston,30.469294,-90.964728,LA,70791,"272,703"
Bank Of Zachary,East Baton Rouge,30.648439,-91.155582,LA,70791,"272,703"
Landmark Bank,East Feliciana,30.865762,-91.018656,LA,70722,"152,341"
Landmark Bank,East Baton Rouge,30.65355,-91.184855,LA,70722,"152,341"
Landmark Bank,East Baton Rouge,30.646624,-91.105909,LA,70722,"152,341"
Landmark Bank,St. Helena,30.829552,-90.667658,LA,70722,"152,341"
The Mer Rouge State Bank,Morehouse,32.775482,-91.792502,LA,71261,"43,637"
Bom Bank,Grant,31.665303,-92.891603,LA,71457,"612,117"
Bom Bank,Sabine,31.34164,-93.847898,LA,71457,"612,117"
Bom Bank,Rapides,31.277733,-92.479729,LA,71457,"612,117"
Bom Bank,Natchitoches,31.478234,-92.804041,LA,71457,"612,117"
Bom Bank,Bossier,32.555954,-93.602551,LA,71457,"612,117"
Bom Bank,Bienville,32.328686,-93.284346,LA,71457,"612,117"
Bom Bank,Rapides,31.264557,-92.451823,LA,71457,"612,117"
Bom Bank,Natchitoches,31.747176,-93.118515,LA,71457,"612,117"
Bom Bank,Caddo,32.461914,-93.72203,LA,71457,"612,117"
Bom Bank,Bossier,32.635473,-93.713727,LA,71457,"612,117"
Bom Bank,Sabine,31.564457,-93.485332,LA,71457,"612,117"
Bom Bank,Natchitoches,31.763952,-93.086042,LA,71457,"612,117"
Bom Bank,Grant,32.424569,-93.721936,LA,71457,"612,117"
Bom Bank,Bienville,32.253372,-93.166637,LA,71457,"612,117"
Bom Bank,Natchitoches,31.752595,-93.064899,LA,71457,"612,117"
The Bank Of Commerce,Iberville,30.170561,-91.146403,LA,70788,"62,992"
Citizens Bank & Trust Company,East Baton Rouge,30.376804,-91.092725,LA,70764,"367,203"
Citizens Bank & Trust Company,East Baton Rouge,30.426238,-91.052645,LA,70764,"367,203"
Citizens Bank & Trust Company,East Baton Rouge,30.408561,-91.008513,LA,70764,"367,203"
Citizens Bank & Trust Company,Iberville,30.291274,-91.236048,LA,70764,"367,203"
Citizens Bank & Trust Company,Iberville,30.291152,-91.236054,LA,70764,"367,203"
Citizens Bank & Trust Company,Iberville,30.277256,-91.233212,LA,70764,"367,203"
Citizens Bank & Trust Company,East Baton Rouge,30.429745,-91.108339,LA,70764,"367,203"
Feliciana Bank & Trust Company,East Feliciana,30.862527,-91.014581,LA,70722,"134,288"
Feliciana Bank & Trust Company,East Feliciana,30.964493,-91.104428,LA,70722,"134,288"
Feliciana Bank & Trust Company,East Feliciana,30.726712,-90.858474,LA,70722,"134,288"
First National Bank Of Louisiana,Acadia,30.210281,-92.37116,LA,70526,"527,823"
First National Bank Of Louisiana,Lafayette,30.177407,-92.044819,LA,70526,"527,823"
First National Bank Of Louisiana,Acadia,30.229227,-92.382029,LA,70526,"527,823"
First National Bank Of Louisiana,Calcasieu,30.227474,-93.341014,LA,70526,"527,823"
First National Bank Of Louisiana,Calcasieu,30.198209,-93.226973,LA,70526,"527,823"
The First National Bank Of Jeanerette,Iberia,30.055201,-91.738403,LA,70544,"311,390"
The First National Bank Of Jeanerette,Iberia,29.914017,-91.666174,LA,70544,"311,390"
The First National Bank Of Jeanerette,St. Mary,29.808996,-91.509812,LA,70544,"311,390"
The First National Bank Of Jeanerette,St. Mary,29.870156,-91.539439,LA,70544,"311,390"
The First National Bank Of Jeanerette,Iberia,29.926883,-91.678503,LA,70544,"311,390"
The First National Bank Of Jeanerette,Iberia,29.991965,-91.804061,LA,70544,"311,390"
The First National Bank Of Jeanerette,St. Mary,29.703084,-91.200332,LA,70544,"311,390"
Colfax Banking Company,Grant,31.619914,-92.556616,LA,71417,"128,781"
Colfax Banking Company,Rapides,31.369721,-92.408991,LA,71417,"128,781"
Colfax Banking Company,Grant,31.519988,-92.708243,LA,71417,"128,781"
Colfax Banking Company,Grant,31.575288,-92.527315,LA,71417,"128,781"
Colfax Banking Company,Grant,31.523464,-92.34456,LA,71417,"128,781"
Sabine State Bank and Trust Company,Allen,30.620569,-92.767596,LA,71449,"1,101,645"
Sabine State Bank and Trust Company,Rapides,30.970463,-92.585135,LA,71449,"1,101,645"
Sabine State Bank and Trust Company,Beauregard,30.786336,-93.538019,LA,71449,"1,101,645"
